time,latitude,longitude,step,surface,valid_time,slhf,d2m,sp,str,lai_lv,t2m,u10,sshf,ssrd,lai_hv,v10,tp,e,strd,ssr,date,is_fire_day,railway_count,industrial_count,power_line_count
2006-01-01,59.0,-114.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,91542.0,264.16748,91645.75,-650555.0,0.0,264.9807,0.0609684,130414.0,0.0,1.1522217,1.2482452,0.0002380684,3.502611e-05,11249366.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-114.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,105986.0,262.78662,93160.75,-816415.0,0.0,263.77563,0.53118324,240716.0,0.0,1.2561035,1.1837921,0.00016432256,4.1985884e-05,11118549.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-113.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,153060.0,264.41553,96662.75,-1299644.0,0.0,265.6936,-0.02057457,805802.0,0.0,1.1328125,1.541214,0.00011496246,6.0399063e-05,11040542.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-113.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,60760.0,266.271,96828.75,-1538005.0,0.0,267.31665,-0.99030113,1268310.0,0.0,1.1328125,1.4914093,0.00010816008,2.4524517e-05,11054228.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-112.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,3592.0,267.06006,96879.75,-1539646.0,0.0,268.0608,-0.9800472,1397854.0,0.0,1.1328125,1.4210968,0.00013752282,2.8600916e-06,11150180.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-112.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,-140958.0,267.85498,97233.75,-1408937.0,0.0,268.98267,-1.1070004,1377994.0,0.0,1.0648193,2.043167,0.00018267334,-4.972983e-05,11435858.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-111.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,-216866.0,268.06396,97397.75,-1166374.0,0.0,269.58813,-0.9722347,1240988.0,0.0,1.0661621,1.8488312,0.0002734959,-7.651001e-05,11762933.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-111.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,-269882.0,268.0503,97086.75,-933549.0,0.0,269.83618,-1.1524105,1120676.0,0.0,1.1340332,2.2697296,0.0003324598,-9.521376e-05,12027746.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-110.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,-106054.0,268.1792,97573.75,-634547.0,0.0,270.0569,-1.5967464,381546.0,0.0,0.0,3.23555,0.00030937046,-3.7415884e-05,12191906.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.0,-110.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,-217926.0,268.11084,97413.75,-583336.0,0.0,270.31274,-1.6802425,620484.0,0.0,0.3227539,3.3214874,0.00020882487,-7.688347e-05,12292305.0,0.0,2006-01-01,0,0,0,0
2006-01-01,58.5,-120.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,-9396.0,262.20654,94306.75,-1058191.0,0.0,263.719,-1.4429379,76376.0,0.0,1.21875,0.6574249,1.733005e-05,-4.058704e-06,10266173.0,0.0,2006-01-01,0,0,0,0
2006-01-01,58.5,-119.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,-6498.0,263.79834,93035.75,-912102.0,0.0,265.05298,-1.3604183,26664.0,0.0,1.2436523,1.0314484,2.2947788e-05,-2.9932708e-06,10718829.0,0.0,2006-01-01,0,0,0,0
2006-01-01,58.5,-119.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,38394.0,264.73193,93659.75,-658326.0,0.0,265.75806,-1.1812191,99672.0,0.0,1.21875,1.1984406,3.6671758e-05,1.5014783e-05,11207736.0,0.0,2006-01-01,0,0,0,0
2006-01-01,58.5,-118.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,187100.0,265.46436,94761.75,-955385.0,0.0,266.33032,-1.2442074,430784.0,0.0,1.21875,1.4650421,2.5242567e-05,7.4139796e-05,11310943.0,0.0,2006-01-01,0,0,0,0
2006-01-01,58.5,-118.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,226580.0,265.69873,94638.75,-1423456.0,0.0,266.54126,-1.3750668,909550.0,0.0,1.1844482,1.4328156,1.1883676e-05,8.93902e-05,10966654.0,0.0,2006-01-01,0,0,0,0
2006-01-01,58.5,-117.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,310224.0,265.2456,95114.75,-1781737.0,0.0,266.1975,-1.4473324,1120130.0,0.0,1.2139893,1.0128937,1.3701618e-05,0.00012250058,10526612.0,0.0,2006-01-01,0,0,0,0
2006-01-01,58.5,-117.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,316204.0,264.4878,95770.75,-1759289.0,2.3787842,265.50024,-1.5635433,1100622.0,0.0,2.593872,0.7394562,3.2007694e-05,0.00012066122,10384323.0,0.0,2006-01-01,0,0,0,0
2006-01-01,58.5,-116.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,308376.0,265.5835,95819.75,-1888439.0,2.2806396,266.5569,-1.9165707,1318678.0,0.0,2.5445557,0.4552765,4.49121e-05,0.000116571784,10440264.0,0.0,2006-01-01,0,0,0,0
2006-01-01,58.5,-116.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,247782.0,266.26123,95712.75,-1566638.0,2.3198242,267.2854,-1.9502621,1081652.0,0.0,2.225708,0.1164093,4.8175454e-05,9.3912706e-05,10834269.0,0.0,2006-01-01,0,0,0,0
2006-01-01,58.5,-115.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,-48286.0,266.74756,95871.75,-1164219.0,0.44396973,267.84204,-1.7705746,1048838.0,0.0,1.2683105,-0.054489136,6.1780214e-05,-1.7110258e-05,11407339.0,0.0,2006-01-01,0,0,0,0
2006-01-01,58.5,-115.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,-47008.0,266.4253,96283.75,-727508.0,0.0,267.5686,-1.2544613,615746.0,0.0,1.21875,-0.30155945,9.853393e-05,-1.6515143e-05,11821782.0,0.0,2006-01-01,0,0,0,0
2006-01-01,58.5,-114.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,3264.0,266.12256,96505.75,-695417.0,0.59606934,267.54907,-1.1934261,410880.0,0.0,1.2628174,-0.05644226,0.00011860579,2.1178275e-06,11796876.0,0.0,2006-01-01,0,0,0,0
2006-01-01,58.5,-114.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,-1202.0,265.0327,96693.75,-885999.0,0.0,266.5901,-1.2290707,600184.0,0.0,1.1328125,0.52949524,9.6827745e-05,9.592623e-07,11593854.0,0.0,2006-01-01,0,0,0,0
