time,latitude,longitude,step,surface,valid_time,sp,tp,t2m,d2m,v10,u10,date,is_fire_day
2006-03-02,57.0,-113.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,96861.0,9.62615e-07,253.18826,250.81451,-1.4998541,-1.522995,2006-03-02,0
2006-03-02,57.0,-112.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,97174.0,1.3649463e-06,253.07108,250.79303,-1.5770025,-1.2368622,2006-03-02,0
2006-03-02,57.0,-112.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,98062.0,1.3649463e-06,254.09842,251.93951,-1.8377447,-0.3276825,2006-03-02,0
2006-03-02,57.0,-111.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,99695.0,3.0487777e-06,255.50467,253.32037,-1.7684088,-0.33061218,2006-03-02,0
2006-03-02,57.0,-111.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,97501.0,1.0693073e-05,256.5613,254.44147,-1.1082525,-1.0874481,2006-03-02,0
2006-03-02,57.0,-110.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,96456.0,4.104674e-05,257.25467,255.13873,-0.8514166,-1.2749481,2006-03-02,0
2006-03-02,57.0,-110.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,96639.0,0.00010242462,257.25076,255.13092,-1.0389166,-1.2300262,2006-03-02,0
2006-03-02,56.5,-120.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,93265.0,8.5830686e-07,258.63943,256.09967,0.29311466,-2.56987,2006-03-02,0
2006-03-02,56.5,-119.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,94764.0,8.5830686e-07,257.6863,255.30084,-0.4764166,-2.406784,2006-03-02,0
2006-03-02,56.5,-119.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,94963.0,8.5830686e-07,254.97147,253.09576,-0.928565,-2.2310028,2006-03-02,0
2006-03-02,56.5,-118.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,93415.0,8.5830686e-07,255.93436,253.5899,-0.7127447,-2.201706,2006-03-02,0
2006-03-02,56.5,-118.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,94749.0,8.5830686e-07,255.5535,253.31842,-0.5301275,-2.0688934,2006-03-02,0
2006-03-02,56.5,-117.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,95129.0,8.5830686e-07,256.18045,253.70514,-0.55551815,-1.7739716,2006-03-02,0
2006-03-02,56.5,-117.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,96432.0,8.5830686e-07,255.72537,253.2774,0.21010685,-2.2046356,2006-03-02,0
