fid,date_group,local_striketime,gmt_striketime,mst_striketime,latitude,longitude,strength,multiplicity
166,2023/10/10 00:00:00,2023/10/10 22:32:31,2023/10/11 04:32:31,2023/10/10 21:32:31,56.5922,-118.6217,-10,1
167,2023/10/10 00:00:00,2023/10/10 22:33:39,2023/10/11 04:33:39,2023/10/10 21:33:39,54.631,-119.7232,139,2
168,2023/10/10 00:00:00,2023/10/10 22:36:44,2023/10/11 04:36:44,2023/10/10 21:36:44,54.7533,-119.7532,92,1
169,2023/10/10 00:00:00,2023/10/10 22:39:22,2023/10/11 04:39:22,2023/10/10 21:39:22,54.6895,-119.7185,-14,0
170,2023/10/10 00:00:00,2023/10/10 22:39:22,2023/10/11 04:39:22,2023/10/10 21:39:22,56.357,-117.7739,16,0
171,2023/10/15 00:00:00,2023/10/15 16:23:12,2023/10/15 22:23:12,2023/10/15 15:23:12,54.5124,-117.9021,-29,2
172,2023/10/17 00:00:00,2023/10/17 03:26:34,2023/10/17 09:26:34,2023/10/17 02:26:34,52.9123,-116.1803,2,0
173,2023/10/17 00:00:00,2023/10/17 11:08:18,2023/10/17 17:08:18,2023/10/17 10:08:18,51.6888,-111.6252,-149,1
174,2023/10/18 00:00:00,2023/10/18 16:25:25,2023/10/18 22:25:25,2023/10/18 15:25:25,54.7844,-115.4022,-16,1
175,2023/10/19 00:00:00,2023/10/19 17:30:58,2023/10/19 23:30:58,2023/10/19 16:30:58,59.8562,-115.1114,-16,0
176,2023/10/19 00:00:00,2023/10/19 18:08:57,2023/10/20 00:08:57,2023/10/19 17:08:57,59.7601,-114.4172,-20,2
177,2023/10/19 00:00:00,2023/10/19 18:12:39,2023/10/20 00:12:39,2023/10/19 17:12:39,59.7337,-114.3441,-13,1
178,2023/10/19 00:00:00,2023/10/19 18:15:00,2023/10/20 00:15:00,2023/10/19 17:15:00,59.8189,-114.331,-6,1
179,2023/10/19 00:00:00,2023/10/19 18:16:11,2023/10/20 00:16:11,2023/10/19 17:16:11,59.7603,-114.3825,-15,1
180,2023/10/19 00:00:00,2023/10/19 18:16:11,2023/10/20 00:16:11,2023/10/19 17:16:11,59.7732,-114.4343,-14,1
181,2023/10/19 00:00:00,2023/10/19 18:18:17,2023/10/20 00:18:17,2023/10/19 17:18:17,59.7893,-114.2374,-6,0
182,2023/10/19 00:00:00,2023/10/19 18:20:15,2023/10/20 00:20:15,2023/10/19 17:20:15,59.7897,-114.266,-27,1
183,2023/10/19 00:00:00,2023/10/19 18:24:15,2023/10/20 00:24:15,2023/10/19 17:24:15,59.7853,-114.321,-18,2
184,2023/10/19 00:00:00,2023/10/19 18:29:32,2023/10/20 00:29:32,2023/10/19 17:29:32,59.7939,-114.0873,-9,0
