fid,date_group,local_striketime,gmt_striketime,mst_striketime,latitude,longitude,strength,multiplicity
161,2023/04/18 00:00:00,2023/04/18 00:24:42,2023/04/18 06:24:42,2023/04/17 23:24:42,53.9338,-111.2865,22,1
162,2023/04/19 00:00:00,2023/04/19 16:53:09,2023/04/19 22:53:09,2023/04/19 15:53:09,54.411,-117.9795,-11,1
163,2023/04/19 00:00:00,2023/04/19 16:53:09,2023/04/19 22:53:09,2023/04/19 15:53:09,54.3797,-117.9409,-13,1
164,2023/04/19 00:00:00,2023/04/19 18:46:56,2023/04/20 00:46:56,2023/04/19 17:46:56,54.0246,-118.5733,-21,2
165,2023/04/19 00:00:00,2023/04/19 18:47:46,2023/04/20 00:47:46,2023/04/19 17:47:46,54.02,-118.5647,-18,1
166,2023/04/24 00:00:00,2023/04/24 16:17:38,2023/04/24 22:17:38,2023/04/24 15:17:38,54.0434,-117.1907,-15,1
167,2023/04/24 00:00:00,2023/04/24 16:24:07,2023/04/24 22:24:07,2023/04/24 15:24:07,54.0213,-117.1881,10,0
168,2023/04/24 00:00:00,2023/04/24 16:33:33,2023/04/24 22:33:33,2023/04/24 15:33:33,54.0256,-117.1583,9,0
169,2023/04/24 00:00:00,2023/04/24 17:11:43,2023/04/24 23:11:43,2023/04/24 16:11:43,50.2696,-112.4727,6,0
170,2023/04/24 00:00:00,2023/04/24 17:24:23,2023/04/24 23:24:23,2023/04/24 16:24:23,54.6018,-118.7351,35,1
171,2023/04/24 00:00:00,2023/04/24 17:57:44,2023/04/24 23:57:44,2023/04/24 16:57:44,50.3194,-112.2149,-5,0
172,2023/04/24 00:00:00,2023/04/24 18:26:12,2023/04/25 00:26:12,2023/04/24 17:26:12,50.2937,-112.4865,-25,1
173,2023/04/24 00:00:00,2023/04/24 18:26:12,2023/04/25 00:26:12,2023/04/24 17:26:12,50.1652,-112.5039,-9,3
174,2023/04/24 00:00:00,2023/04/24 18:27:13,2023/04/25 00:27:13,2023/04/24 17:27:13,50.3614,-112.1453,-8,1
175,2023/04/24 00:00:00,2023/04/24 18:30:15,2023/04/25 00:30:15,2023/04/24 17:30:15,50.2579,-112.4767,-2,0
